id,name,description,price,categoria
1,Vestido casual,Vestido de verano con estampado floral,42.62,Ropa
2,Microondas Samsung,Microondas de 20L con grill,126.42,Electrodoméstico
3,Casaca de cuero,Casaca negra de cuero sintético,82.03,Ropa
4,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,20.4,Juguete
5,Zapatillas deportivas,Zapatillas ligeras para correr,57.53,Ropa
6,Camiseta básica,Camiseta de algodón disponible en varios colores,19.13,Ropa
7,Zapatillas deportivas,Zapatillas ligeras para correr,68.23,Ropa
8,"Televisor Sony 50""",Smart TV 4K UHD con HDR,854.96,Electrodoméstico
9,"Televisor Sony 50""",Smart TV 4K UHD con HDR,947.88,Electrodoméstico
10,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,66.58,Electrodoméstico
11,Muñeca Barbie,Muñeca Barbie edición especial,28.26,Juguete
12,Camiseta básica,Camiseta de algodón disponible en varios colores,17.84,Ropa
13,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,61.0,Electrodoméstico
14,Microondas Samsung,Microondas de 20L con grill,136.85,Electrodoméstico
15,Vestido casual,Vestido de verano con estampado floral,46.07,Ropa
16,Refrigeradora LG,Refrigeradora 250L con freezer superior,632.15,Electrodoméstico
17,Casaca de cuero,Casaca negra de cuero sintético,95.04,Ropa
18,Lego Classic,Caja de bloques creativos Lego,31.32,Juguete
19,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,69.28,Electrodoméstico
20,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,67.33,Electrodoméstico
21,Vestido casual,Vestido de verano con estampado floral,46.13,Ropa
22,Microondas Samsung,Microondas de 20L con grill,115.26,Electrodoméstico
23,Microondas Samsung,Microondas de 20L con grill,134.81,Electrodoméstico
24,Osito de peluche,Peluche suave de 40 cm,15.4,Juguete
25,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,40.73,Juguete
26,Refrigeradora LG,Refrigeradora 250L con freezer superior,630.15,Electrodoméstico
27,Casaca de cuero,Casaca negra de cuero sintético,90.34,Ropa
28,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,37.07,Juguete
29,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,37.05,Juguete
30,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,35.96,Juguete
31,Plancha Philips,Plancha a vapor con suela antiadherente,33.86,Electrodoméstico
32,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,73.49,Electrodoméstico
33,Zapatillas deportivas,Zapatillas ligeras para correr,63.82,Ropa
34,Lego Classic,Caja de bloques creativos Lego,31.38,Juguete
35,Jeans slim fit,Pantalón de mezclilla azul oscuro,38.16,Ropa
36,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,76.03,Electrodoméstico
37,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,32.99,Juguete
38,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,36.85,Juguete
39,Jeans slim fit,Pantalón de mezclilla azul oscuro,40.39,Ropa
40,Refrigeradora LG,Refrigeradora 250L con freezer superior,571.66,Electrodoméstico
41,Camiseta básica,Camiseta de algodón disponible en varios colores,15.94,Ropa
42,Refrigeradora LG,Refrigeradora 250L con freezer superior,572.23,Electrodoméstico
43,Osito de peluche,Peluche suave de 40 cm,15.46,Juguete
44,"Televisor Sony 50""",Smart TV 4K UHD con HDR,810.0,Electrodoméstico
45,Casaca de cuero,Casaca negra de cuero sintético,90.32,Ropa
46,Jeans slim fit,Pantalón de mezclilla azul oscuro,47.55,Ropa
47,Jeans slim fit,Pantalón de mezclilla azul oscuro,47.55,Ropa
48,Zapatillas deportivas,Zapatillas ligeras para correr,65.09,Ropa
49,Osito de peluche,Peluche suave de 40 cm,12.09,Juguete
50,Jeans slim fit,Pantalón de mezclilla azul oscuro,41.31,Ropa
51,Vestido casual,Vestido de verano con estampado floral,42.46,Ropa
52,Casaca de cuero,Casaca negra de cuero sintético,95.94,Ropa
53,Refrigeradora LG,Refrigeradora 250L con freezer superior,504.54,Electrodoméstico
54,Zapatillas deportivas,Zapatillas ligeras para correr,64.15,Ropa
55,Camiseta básica,Camiseta de algodón disponible en varios colores,18.01,Ropa
56,Casaca de cuero,Casaca negra de cuero sintético,103.02,Ropa
57,Osito de peluche,Peluche suave de 40 cm,13.94,Juguete
58,"Televisor Sony 50""",Smart TV 4K UHD con HDR,943.14,Electrodoméstico
59,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,42.46,Juguete
60,"Televisor Sony 50""",Smart TV 4K UHD con HDR,859.45,Electrodoméstico
61,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,40.95,Juguete
62,Zapatillas deportivas,Zapatillas ligeras para correr,59.9,Ropa
63,Casaca de cuero,Casaca negra de cuero sintético,92.1,Ropa
64,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,41.81,Juguete
65,Plancha Philips,Plancha a vapor con suela antiadherente,41.14,Electrodoméstico
66,Camiseta básica,Camiseta de algodón disponible en varios colores,16.29,Ropa
67,Osito de peluche,Peluche suave de 40 cm,12.25,Juguete
68,Osito de peluche,Peluche suave de 40 cm,13.39,Juguete
69,"Televisor Sony 50""",Smart TV 4K UHD con HDR,800.76,Electrodoméstico
70,Vestido casual,Vestido de verano con estampado floral,45.51,Ropa
71,Refrigeradora LG,Refrigeradora 250L con freezer superior,536.62,Electrodoméstico
72,Jeans slim fit,Pantalón de mezclilla azul oscuro,45.15,Ropa
73,Muñeca Barbie,Muñeca Barbie edición especial,27.97,Juguete
74,Jeans slim fit,Pantalón de mezclilla azul oscuro,43.66,Ropa
75,Jeans slim fit,Pantalón de mezclilla azul oscuro,41.74,Ropa
76,Lego Classic,Caja de bloques creativos Lego,34.99,Juguete
77,Microondas Samsung,Microondas de 20L con grill,134.92,Electrodoméstico
78,"Televisor Sony 50""",Smart TV 4K UHD con HDR,861.07,Electrodoméstico
79,"Televisor Sony 50""",Smart TV 4K UHD con HDR,845.77,Electrodoméstico
80,Refrigeradora LG,Refrigeradora 250L con freezer superior,587.41,Electrodoméstico
81,Vestido casual,Vestido de verano con estampado floral,43.66,Ropa
82,Microondas Samsung,Microondas de 20L con grill,134.15,Electrodoméstico
83,Plancha Philips,Plancha a vapor con suela antiadherente,31.74,Electrodoméstico
84,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,21.73,Juguete
85,Zapatillas deportivas,Zapatillas ligeras para correr,66.26,Ropa
86,Lego Classic,Caja de bloques creativos Lego,34.74,Juguete
87,Microondas Samsung,Microondas de 20L con grill,126.02,Electrodoméstico
88,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,18.87,Juguete
89,"Televisor Sony 50""",Smart TV 4K UHD con HDR,786.05,Electrodoméstico
90,Muñeca Barbie,Muñeca Barbie edición especial,29.36,Juguete
91,Microondas Samsung,Microondas de 20L con grill,143.72,Electrodoméstico
92,Osito de peluche,Peluche suave de 40 cm,11.9,Juguete
93,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,20.12,Juguete
94,Refrigeradora LG,Refrigeradora 250L con freezer superior,617.74,Electrodoméstico
95,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,36.55,Juguete
96,Zapatillas deportivas,Zapatillas ligeras para correr,71.64,Ropa
97,Osito de peluche,Peluche suave de 40 cm,15.56,Juguete
98,Jeans slim fit,Pantalón de mezclilla azul oscuro,37.39,Ropa
99,Osito de peluche,Peluche suave de 40 cm,12.26,Juguete
100,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,36.23,Juguete
101,Lego Classic,Caja de bloques creativos Lego,30.05,Juguete
102,Casaca de cuero,Casaca negra de cuero sintético,81.62,Ropa
103,Vestido casual,Vestido de verano con estampado floral,44.9,Ropa
104,Refrigeradora LG,Refrigeradora 250L con freezer superior,569.53,Electrodoméstico
105,Casaca de cuero,Casaca negra de cuero sintético,93.25,Ropa
106,Muñeca Barbie,Muñeca Barbie edición especial,24.9,Juguete
107,Refrigeradora LG,Refrigeradora 250L con freezer superior,650.29,Electrodoméstico
108,Osito de peluche,Peluche suave de 40 cm,12.55,Juguete
109,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,76.03,Electrodoméstico
110,Muñeca Barbie,Muñeca Barbie edición especial,24.25,Juguete
111,Microondas Samsung,Microondas de 20L con grill,143.45,Electrodoméstico
112,Refrigeradora LG,Refrigeradora 250L con freezer superior,507.66,Electrodoméstico
113,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,70.96,Electrodoméstico
114,Vestido casual,Vestido de verano con estampado floral,42.69,Ropa
115,Jeans slim fit,Pantalón de mezclilla azul oscuro,36.33,Ropa
116,Microondas Samsung,Microondas de 20L con grill,143.5,Electrodoméstico
117,Plancha Philips,Plancha a vapor con suela antiadherente,37.76,Electrodoméstico
118,Camiseta básica,Camiseta de algodón disponible en varios colores,15.84,Ropa
119,Casaca de cuero,Casaca negra de cuero sintético,102.14,Ropa
120,Muñeca Barbie,Muñeca Barbie edición especial,29.36,Juguete
121,Vestido casual,Vestido de verano con estampado floral,45.78,Ropa
122,Camiseta básica,Camiseta de algodón disponible en varios colores,16.71,Ropa
123,Muñeca Barbie,Muñeca Barbie edición especial,28.06,Juguete
124,Jeans slim fit,Pantalón de mezclilla azul oscuro,37.58,Ropa
125,"Televisor Sony 50""",Smart TV 4K UHD con HDR,817.63,Electrodoméstico
126,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,36.86,Juguete
127,Camiseta básica,Camiseta de algodón disponible en varios colores,16.34,Ropa
128,"Televisor Sony 50""",Smart TV 4K UHD con HDR,899.01,Electrodoméstico
129,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,18.22,Juguete
130,Camiseta básica,Camiseta de algodón disponible en varios colores,18.23,Ropa
131,Vestido casual,Vestido de verano con estampado floral,43.36,Ropa
132,Zapatillas deportivas,Zapatillas ligeras para correr,68.31,Ropa
133,Muñeca Barbie,Muñeca Barbie edición especial,27.29,Juguete
134,Osito de peluche,Peluche suave de 40 cm,13.22,Juguete
135,Jeans slim fit,Pantalón de mezclilla azul oscuro,36.41,Ropa
136,Osito de peluche,Peluche suave de 40 cm,15.16,Juguete
137,"Televisor Sony 50""",Smart TV 4K UHD con HDR,939.05,Electrodoméstico
138,Zapatillas deportivas,Zapatillas ligeras para correr,55.17,Ropa
139,Refrigeradora LG,Refrigeradora 250L con freezer superior,609.28,Electrodoméstico
140,Muñeca Barbie,Muñeca Barbie edición especial,26.26,Juguete
141,Lego Classic,Caja de bloques creativos Lego,30.02,Juguete
142,Casaca de cuero,Casaca negra de cuero sintético,106.95,Ropa
143,Vestido casual,Vestido de verano con estampado floral,42.37,Ropa
144,Zapatillas deportivas,Zapatillas ligeras para correr,57.15,Ropa
145,Microondas Samsung,Microondas de 20L con grill,135.61,Electrodoméstico
146,Zapatillas deportivas,Zapatillas ligeras para correr,71.21,Ropa
147,Microondas Samsung,Microondas de 20L con grill,126.82,Electrodoméstico
148,Vestido casual,Vestido de verano con estampado floral,44.0,Ropa
149,Vestido casual,Vestido de verano con estampado floral,42.94,Ropa
150,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,17.16,Juguete
151,Microondas Samsung,Microondas de 20L con grill,112.15,Electrodoméstico
152,Zapatillas deportivas,Zapatillas ligeras para correr,67.09,Ropa
153,Vestido casual,Vestido de verano con estampado floral,46.26,Ropa
154,Vestido casual,Vestido de verano con estampado floral,51.29,Ropa
155,Camiseta básica,Camiseta de algodón disponible en varios colores,15.7,Ropa
156,Jeans slim fit,Pantalón de mezclilla azul oscuro,43.2,Ropa
157,Lego Classic,Caja de bloques creativos Lego,35.33,Juguete
158,Jeans slim fit,Pantalón de mezclilla azul oscuro,42.67,Ropa
159,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,37.34,Juguete
160,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,64.87,Electrodoméstico
161,Refrigeradora LG,Refrigeradora 250L con freezer superior,535.61,Electrodoméstico
162,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,35.34,Juguete
163,Camiseta básica,Camiseta de algodón disponible en varios colores,16.29,Ropa
164,Jeans slim fit,Pantalón de mezclilla azul oscuro,36.98,Ropa
165,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,19.03,Juguete
166,Zapatillas deportivas,Zapatillas ligeras para correr,62.43,Ropa
167,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,32.26,Juguete
168,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,74.56,Electrodoméstico
169,Muñeca Barbie,Muñeca Barbie edición especial,27.51,Juguete
170,Lego Classic,Caja de bloques creativos Lego,28.8,Juguete
171,Osito de peluche,Peluche suave de 40 cm,15.14,Juguete
172,Casaca de cuero,Casaca negra de cuero sintético,107.17,Ropa
173,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,39.2,Juguete
174,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,63.66,Electrodoméstico
175,Plancha Philips,Plancha a vapor con suela antiadherente,34.74,Electrodoméstico
176,Muñeca Barbie,Muñeca Barbie edición especial,28.14,Juguete
177,Camiseta básica,Camiseta de algodón disponible en varios colores,15.87,Ropa
178,Lego Classic,Caja de bloques creativos Lego,32.18,Juguete
179,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,20.72,Juguete
180,"Televisor Sony 50""",Smart TV 4K UHD con HDR,801.54,Electrodoméstico
181,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,17.9,Juguete
182,"Televisor Sony 50""",Smart TV 4K UHD con HDR,728.67,Electrodoméstico
183,Lego Classic,Caja de bloques creativos Lego,30.06,Juguete
184,Lego Classic,Caja de bloques creativos Lego,34.16,Juguete
185,Zapatillas deportivas,Zapatillas ligeras para correr,66.83,Ropa
186,Refrigeradora LG,Refrigeradora 250L con freezer superior,557.38,Electrodoméstico
187,Lego Classic,Caja de bloques creativos Lego,34.49,Juguete
188,Muñeca Barbie,Muñeca Barbie edición especial,25.34,Juguete
189,Jeans slim fit,Pantalón de mezclilla azul oscuro,39.76,Ropa
190,Casaca de cuero,Casaca negra de cuero sintético,107.36,Ropa
191,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,70.33,Electrodoméstico
192,Camiseta básica,Camiseta de algodón disponible en varios colores,19.03,Ropa
193,Vestido casual,Vestido de verano con estampado floral,53.6,Ropa
194,Camiseta básica,Camiseta de algodón disponible en varios colores,15.61,Ropa
195,Jeans slim fit,Pantalón de mezclilla azul oscuro,40.11,Ropa
196,Plancha Philips,Plancha a vapor con suela antiadherente,34.44,Electrodoméstico
197,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,17.34,Juguete
198,Muñeca Barbie,Muñeca Barbie edición especial,28.98,Juguete
199,Microondas Samsung,Microondas de 20L con grill,139.12,Electrodoméstico
200,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,38.15,Juguete